0,1,2,3,4,5,6
André Onana,Man Utd,GKP,4.9,1.0,4.1139789107036435,4.1139789107036435
Gabriel dos Santos Magalhães,Arsenal,DEF,5.3,1.0,3.37198415572971,3.37198415572971
Cristian Romero,Spurs,DEF,5.2,1.0,3.411508543238637,3.411508543238637
Benjamin White,Arsenal,DEF,5.7,1.0,4.000773515809881,4.000773515809881
Cole Palmer,Chelsea,MID,5.8,1.0,4.486280923652545,4.486280923652545
Phil Foden,Man City,MID,8.1,1.0,5.388341968585596,5.388341968585596
Son Heung-min,Spurs,MID,10.1,1.0,5.532020643329137,5.532020643329137
Jarrod Bowen,West Ham,MID,7.9,1.0,4.318877165776287,4.318877165776287
Dominic Solanke,Bournemouth,FWD,7.2,1.0,4.9196496702677734,4.9196496702677734
Ollie Watkins,Aston Villa,FWD,9.0,1.0,5.173173984668088,5.173173984668088
Erling Haaland,Man City,FWD,14.3,1.0,6.679425246052743,6.679425246052743
Caoimhin Kelleher,Liverpool,GKP,3.8,1.0,3.4387289459773887,3.4387289459773887
George Baldock,Sheffield Utd,DEF,3.8,1.0,1.4542725903018217,1.4542725903018217
Ameen Al-Dakhil,Burnley,DEF,3.8,1.0,0.12156057943341558,0.12156057943341558
Elliot Anderson,Newcastle,MID,4.2,1.0,0.5526654702671843,0.5526654702671843
