,PLAYER,TEAM,POSITION,PRICE,MINUTES 1,POINTS 1,MINUTES 2,POINTS 2,MINUTES 3,POINTS 3,MINUTES 4,POINTS 4,MINUTES 5,POINTS 5,MINUTES 6,POINTS 6,MINUTES 7,POINTS 7,MINUTES 8,POINTS 8,MINUTES 9,POINTS 9,MINUTES 10,POINTS 10,MINUTES 11,POINTS 11,MINUTES 12,POINTS 12,MINUTES 13,POINTS 13,MINUTES 14,POINTS 14,MINUTES 15,POINTS 15,MINUTES 16,POINTS 16,MINUTES 17,POINTS 17,MINUTES 18,POINTS 18,MINUTES 19,POINTS 19,MINUTES 20,POINTS 20,MINUTES 21,POINTS 21,MINUTES 22,POINTS 22,MINUTES 23,POINTS 23,MINUTES 24,POINTS 24,MINUTES 25,POINTS 25,MINUTES 26,POINTS 26,MINUTES 27,POINTS 27,MINUTES 28,POINTS 28,MINUTES 29,POINTS 29
0,Thomas Cannon,Everton,FWD,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ollie Watkins,Aston Villa,FWD,80.0,90.0,5.0,73.0,5.0,85.0,5.0,72.0,2.0,90.0,5.0,90.0,9.0,90.0,23.0,90.0,5.0,90.0,11.0,90.0,2.0,90.0,2.0,90.0,6.0,90.0,5.0,90.0,11.0,89.0,1.0,90.0,2.0,90.0,9.0,90.0,2.0,90.0,2.0,90.0,8.0,90.0,1.0,90.0,7.0,90.0,18.0,90.0,2.0,90.0,13.0,90.0,9.0,90.0,13.0,90.0,2.0,90.0,2.0
2,Shola Shoretire,Man Utd,FWD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Rhian Brewster,Sheffield Utd,FWD,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,1.0,38.0,1.0,58.0,1.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,23.0,1.0,10.0,-2.0,0.0,0.0,0.0,0.0,9.0,1.0,11.0,1.0,81.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Lloyd Kelly,Bournemouth,DEF,45.0,0.0,0.0,14.0,1.0,90.0,0.0,0.0,0.0,90.0,8.0,82.0,1.0,0.0,0.0,0.0,0.0,90.0,1.0,90.0,2.0,90.0,-1.0,90.0,7.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,77.0,2.0,82.0,2.0,45.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Frank Onyeka,Brentford,MID,50.0,0.0,0.0,0.0,0.0,18.0,1.0,19.0,1.0,18.0,1.0,28.0,1.0,21.0,0.0,20.0,1.0,83.0,2.0,26.0,0.0,90.0,5.0,45.0,1.0,90.0,2.0,90.0,2.0,90.0,2.0,45.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,72.0,2.0,76.0,4.0,77.0,1.0,58.0,1.0
6,Saman Ghoddos,Brentford,MID,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,21.0,1.0,7.0,1.0,6.0,5.0,6.0,0.0,1.0,1.0,18.0,1.0,89.0,2.0,76.0,2.0,90.0,2.0,90.0,2.0,90.0,1.0,0.0,0.0,90.0,2.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
7,Jakub Kiwior,Arsenal,DEF,45.0,0.0,0.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,63.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,1.0,9.0,1.0,1.0,1.0,45.0,3.0,90.0,6.0,90.0,9.0,90.0,8.0,90.0,10.0,78.0,2.0,0.0,0.0
8,Issa Diop,Fulham,DEF,45.0,90.0,8.0,90.0,1.0,90.0,1.0,90.0,-1.0,90.0,5.0,90.0,6.0,90.0,1.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,90.0,2.0,74.0,7.0,0.0,0.0,90.0,2.0,90.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Ben Brereton,Sheffield Utd,MID,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,7.0,45.0,7.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0
