id,total_points,was_home,kickoff_time,gameweek,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-241,20974,0,241,Folarin Balogun,FWD,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,21496.666666666668,0.0,0.0,-303.3333333333333,0.0,303.3333333333333,0.0,1.0,0.6666666666666666,1.3333333333333333
2,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-243,43810,660,903,Cédric Alves Soares,DEF,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,44520.333333333336,0.0,0.0,-392.6666666666667,960.3333333333334,1353.0,0.0,1.0,0.6666666666666666,1.3333333333333333
3,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-171,8562,95,266,Mohamed Elneny,MID,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,9183.666666666666,0.0,0.0,-493.3333333333333,97.66666666666667,591.0,0.0,1.0,0.6666666666666666,1.3333333333333333
4,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-107,8996,6,113,Fábio Ferreira Vieira,MID,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,9297.333333333334,0.0,0.0,-220.33333333333334,14.333333333333334,234.66666666666666,0.0,1.0,0.6666666666666666,1.3333333333333333
5,1,True,20,19,90,0,0,0,2,0,0,0,0,0,0,0,18,20.4,12.2,7.0,4.0,49,168680,1755052,178016,9336,Gabriel dos Santos Magalhães,DEF,Arsenal,West Ham,2023-24,0,2,0,0.0,0.6666666666666666,22.333333333333332,0.3333333333333333,5.433333333333334,0.6666666666666666,0.3333333333333333,4.866666666666666,31.400000000000002,90.0,0,0,0,0.0,0.0,1588570.0,12.0,6.0,-27073.0,15914.0,42987.0,0.0,1.0,0.6666666666666666,1.3333333333333333
6,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,71,-10922,171523,1899,12821,Kai Havertz,MID,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,10.666666666666666,0.3333333333333333,11.4,0.6666666666666666,0.3333333333333333,4.5,13.799999999999999,89.33333333333333,0,0,0,0.0,0.0,176999.33333333334,19.666666666666668,3.6666666666666665,4427.333333333333,8124.666666666667,3697.3333333333335,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333
8,1,True,20,19,90,0,0,0,2,0,0,0,1,0,0,0,8,16.8,51.1,42.0,11.0,80,45900,580454,75762,29862,Gabriel Fernando de Jesus,FWD,Arsenal,West Ham,2023-24,0,2,0,0.0,1.0,14.666666666666666,0.3333333333333333,16.833333333333332,0.6666666666666666,0.3333333333333333,8.200000000000001,18.866666666666664,79.33333333333333,0,0,0,0.0,0.0,460352.0,46.333333333333336,4.333333333333333,55636.333333333336,75480.66666666667,19844.333333333332,0.0,1.0,0.6666666666666666,1.3333333333333333
9,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-185,18522,107,292,Jorge Luiz Frello Filho,MID,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,18984.333333333332,0.0,0.0,-378.6666666666667,130.33333333333334,509.0,0.0,1.0,0.6666666666666666,1.3333333333333333
10,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-76,8984,90,166,Jakub Kiwior,DEF,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,1.6666666666666667,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.6666666666666666,0.3333333333333333,0,0,0,0.0,0.0,9086.666666666666,0.0,0.3333333333333333,-116.66666666666667,115.0,231.66666666666666,0.0,1.0,0.6666666666666666,1.3333333333333333
11,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-22,4521,0,22,Marcus Oliveira Alencar,MID,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,4579.666666666667,0.0,0.0,-39.0,0.0,39.0,0.0,1.0,0.6666666666666666,1.3333333333333333
12,2,True,20,19,63,0,0,0,2,0,0,0,0,0,0,0,7,3.4,15.0,26.0,4.4,77,-10841,610018,15088,25929,Gabriel Martinelli Silva,MID,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,7.333333333333333,0.3333333333333333,34.5,0.6666666666666666,0.0,6.266666666666667,9.533333333333333,72.33333333333333,0,0,0,0.0,0.0,654001.0,18.666666666666668,2.3333333333333335,-36919.666666666664,13855.333333333334,50775.0,0.0,1.0,0.6666666666666666,1.3333333333333333
13,1,True,20,19,26,0,0,0,0,0,0,0,0,0,0,0,1,3.2,0.5,30.0,3.4,54,-37020,533753,7627,44647,Eddie Nketiah,FWD,Arsenal,West Ham,2023-24,0,2,0,0.3333333333333333,0.0,5.0,0.0,3.5333333333333337,0.0,0.0,1.0666666666666667,6.199999999999999,9.666666666666666,0,0,0,0.0,0.0,611913.3333333334,1.3333333333333333,1.6666666666666667,-83987.0,7788.666666666667,91775.66666666667,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333
14,2,True,20,19,90,0,0,0,2,0,0,0,0,0,0,0,12,23.2,92.0,49.0,16.4,84,55086,1591455,73325,18239,Martin Ødegaard,MID,Arsenal,West Ham,2023-24,0,2,0,0.3333333333333333,1.0,16.0,0.3333333333333333,36.43333333333334,0.6666666666666666,0.0,8.266666666666666,20.933333333333334,90.0,0,0,0,0.0,0.0,1530970.0,25.333333333333332,4.333333333333333,4237.0,43108.666666666664,38871.666666666664,0.0,1.0,0.6666666666666666,1.3333333333333333
15,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-89,15735,9,98,Thomas Partey,MID,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,15955.0,0.0,0.0,-158.33333333333334,9.333333333333334,167.66666666666666,0.0,1.0,0.6666666666666666,1.3333333333333333
16,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-15,4574,0,15,Nicolas Pépé,MID,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,4602.666666666667,0.0,0.0,-15.666666666666666,0.0,15.666666666666666,0.0,1.0,0.6666666666666666,1.3333333333333333
17,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-9307,672825,907,10214,Aaron Ramsdale,GKP,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,696313.0,0.0,0.0,-21882.666666666668,1724.6666666666667,23607.333333333332,0.0,1.0,0.6666666666666666,1.3333333333333333
18,0,True,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-65,8638,0,65,Rúnar Alex Rúnarsson,GKP,Arsenal,West Ham,2023-24,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,8830.333333333334,0.0,0.0,-132.33333333333334,0.0,132.33333333333334,0.0,1.0,0.6666666666666666,1.3333333333333333
