id,name,position,team,kickoff_time,value,was_home,opponent,gameweek,season,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,Fábio Ferreira Vieira,MID,Arsenal,19,54,False,Nott'm Forest,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1117.6666666666667,0.0,0.0,-5.0,0.0,5.0,0.0,2.3333333333333335,0.6666666666666666,2.0
2,Gabriel Fernando de Jesus,FWD,Arsenal,19,65,False,Nott'm Forest,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,139485.0,0.0,0.0,-15208.666666666666,93.66666666666667,15302.333333333334,0.0,2.3333333333333335,0.6666666666666666,2.0
3,Gabriel dos Santos Magalhães,DEF,Arsenal,19,63,False,Nott'm Forest,27,2024-25,0.0,0.0,16.333333333333332,0.3333333333333333,7.033333333333334,0.6666666666666666,0.0,2.8333333333333335,14.466666666666663,90.0,0.0,0,0,0.0,0.0,3220018.3333333335,6.666666666666667,3.3333333333333335,32653.333333333332,125441.0,92787.66666666667,0.0,2.3333333333333335,0.6666666666666666,2.0
4,Kai Havertz,FWD,Arsenal,19,78,False,Nott'm Forest,27,2024-25,0.3333333333333333,1.0,14.666666666666666,0.0,4.8999999999999995,0.3333333333333333,0.3333333333333333,3.5,18.466666666666665,29.666666666666668,0.0,0,0,0.0,0.0,789531.3333333334,11.666666666666666,4.0,-64754.333333333336,22631.666666666668,87386.0,0.0,2.3333333333333335,0.6666666666666666,2.0
5,Karl Hein,GKP,Arsenal,19,40,False,Nott'm Forest,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2907.6666666666665,0.0,0.0,-24.666666666666668,0.0,24.666666666666668,0.0,2.3333333333333335,0.6666666666666666,2.0
6,Jurriën Timber,DEF,Arsenal,19,56,False,Nott'm Forest,27,2024-25,0.0,0.0,12.333333333333334,0.3333333333333333,9.066666666666668,0.6666666666666666,0.0,3.0,13.0,90.0,0.0,0,0,0.0,0.0,498587.3333333333,7.666666666666667,3.0,-6581.0,25789.333333333332,32370.333333333332,0.3333333333333333,2.3333333333333335,0.6666666666666666,2.0
7,Jorge Luiz Frello Filho,MID,Arsenal,19,47,False,Nott'm Forest,27,2024-25,0.0,0.0,-0.3333333333333333,0.0,0.09999999999999999,0.0,0.0,0.03333333333333333,0.19999999999999998,5.0,0.0,0,0,0.0,0.0,25295.333333333332,0.0,0.0,-224.66666666666666,470.6666666666667,695.3333333333334,0.3333333333333333,2.3333333333333335,0.6666666666666666,2.0
8,Jakub Kiwior,DEF,Arsenal,19,48,False,Nott'm Forest,27,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,19100.333333333332,0.0,0.0,-230.33333333333334,303.6666666666667,534.0,0.0,2.3333333333333335,0.6666666666666666,2.0
9,Gabriel Martinelli Silva,MID,Arsenal,19,66,False,Nott'm Forest,27,2024-25,0.3333333333333333,0.0,5.0,0.0,7.433333333333334,0.3333333333333333,0.0,2.3000000000000003,7.733333333333333,30.0,0.0,0,0,0.0,0.0,301350.3333333333,7.666666666666667,1.6666666666666667,-57856.333333333336,9558.0,67414.33333333333,0.0,2.3333333333333335,0.6666666666666666,2.0
12,Ethan Nwaneri,MID,Arsenal,19,46,False,Nott'm Forest,27,2024-25,0.3333333333333333,1.0,24.666666666666668,0.3333333333333333,24.633333333333336,0.3333333333333333,0.3333333333333333,7.633333333333333,29.53333333333333,58.666666666666664,0.0,0,0,0.0,0.0,229518.33333333334,22.333333333333332,5.666666666666667,140318.33333333334,144269.33333333334,3951.0,0.0,2.3333333333333335,0.6666666666666666,2.0
