,PLAYER,TEAM,POSITION,PRICE 1,MINUTES 1,POINTS 1,PRICE 2,MINUTES 2,POINTS 2,PRICE 3,MINUTES 3,POINTS 3,PRICE 4,MINUTES 4,POINTS 4,PRICE 5,MINUTES 5,POINTS 5,PRICE 6,MINUTES 6,POINTS 6,PRICE 7,MINUTES 7,POINTS 7,PRICE 8,MINUTES 8,POINTS 8,PRICE 9,MINUTES 9,POINTS 9,PRICE 10,MINUTES 10,POINTS 10,PRICE 11,MINUTES 11,POINTS 11,PRICE 12,MINUTES 12,POINTS 12,PRICE 13,MINUTES 13,POINTS 13,PRICE 14,MINUTES 14,POINTS 14,PRICE 15,MINUTES 15,POINTS 15,PRICE 16,MINUTES 16,POINTS 16,PRICE 17,MINUTES 17,POINTS 17,PRICE 18,MINUTES 18,POINTS 18,PRICE 19,MINUTES 19,POINTS 19,PRICE 20,MINUTES 20,POINTS 20
0,Fábio Ferreira Vieira,Arsenal,MID,55,0,0,55,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0,54,0,0
0,Gabriel Fernando de Jesus,Arsenal,FWD,70,5,0,69,0,0,68,0,0,68,10,1,68,3,0,68,1,1,68,59,1,68,10,1,68,5,0,68,19,1,68,9,1,68,90,1,68,16,1,68,0,0,68,16,1,68,21,1,67,85,16,68,71,2,68,90,12,69,90,2
0,Gabriel dos Santos Magalhães,Arsenal,DEF,60,90,6,60,90,6,60,90,2,60,90,15,60,90,7,61,90,1,62,90,2,62,90,1,63,53,1,62,90,2,62,90,2,61,90,6,62,45,9,62,0,0,62,0,0,62,90,9,62,90,4,63,90,6,63,90,2,64,90,2
0,Kai Havertz,Arsenal,FWD,80,90,12,81,90,2,81,90,8,81,90,2,81,90,2,82,90,6,82,90,8,83,90,2,82,90,2,81,90,1,80,90,1,80,0,0,79,90,6,79,90,2,79,73,5,79,90,2,79,57,6,79,90,7,79,0,0,79,0,0
0,Karl Hein,Arsenal,GKP,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0
0,Jurriën Timber,Arsenal,DEF,55,21,1,55,78,6,55,79,1,55,90,5,55,90,2,55,90,4,55,0,0,55,0,0,55,75,2,55,70,1,55,90,2,55,87,6,55,90,1,55,90,14,56,90,2,57,90,6,57,85,1,57,90,9,57,90,1,57,0,0
0,Jorge Luiz Frello Filho,Arsenal,MID,50,0,0,50,0,0,49,0,0,49,90,2,49,0,0,49,0,0,49,60,2,48,0,0,48,0,0,48,4,0,48,0,0,48,45,0,47,90,2,47,1,1,47,73,2,47,28,1,47,0,0,47,0,0,47,2,1,47,63,2
0,Jakub Kiwior,Arsenal,DEF,50,0,0,50,0,0,49,0,0,49,0,0,49,16,1,48,0,0,48,1,1,48,43,0,48,36,1,48,0,0,48,0,0,48,2,1,48,45,1,48,90,6,48,90,2,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0
0,Gabriel Martinelli Silva,Arsenal,MID,70,90,3,70,64,3,70,16,1,69,79,3,69,86,5,69,73,13,70,30,6,70,26,1,70,84,2,70,60,2,69,70,8,69,0,0,69,0,0,68,70,3,68,30,0,67,73,3,67,90,7,67,90,3,68,90,9,68,45,1
0,Ethan Nwaneri,Arsenal,MID,45,0,0,45,0,0,45,0,0,45,4,1,45,0,0,45,5,1,45,0,0,45,9,1,45,5,1,45,29,1,45,0,0,45,8,6,45,5,1,45,0,0,45,11,1,45,28,1,45,4,1,45,0,0,45,77,2,45,45,6
0,Martin Ødegaard,Arsenal,MID,85,90,3,85,90,2,84,73,2,83,0,0,83,0,0,82,0,0,82,0,0,82,0,0,82,0,0,82,0,0,82,90,7,82,81,6,82,73,8,83,89,3,83,78,2,83,61,3,83,90,2,84,90,3,84,87,2,84,26,1
0,David Raya Martin,Arsenal,GKP,55,90,8,55,90,10,55,90,2,55,90,9,55,90,4,56,90,1,56,90,2,57,90,1,57,90,0,56,90,3,56,90,2,55,90,6,55,90,2,55,90,6,55,90,2,56,90,6,56,90,3,56,90,6,56,90,2,56,90,3
0,Declan Rice,Arsenal,MID,65,84,3,65,90,2,64,48,-2,63,0,0,63,90,1,63,90,2,63,90,2,63,90,2,63,90,5,63,90,2,63,70,2,63,0,0,62,90,2,62,90,7,62,90,2,62,61,3,62,32,11,62,86,3,62,12,1,62,90,4
