id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,17,19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-4,1149,0,4,Fábio Ferreira Vieira,MID,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.3333333333333,0.0,0.0,-8.666666666666666,0.0,8.666666666666666,0.0,2.0,0.3333333333333333,2.3333333333333335
2,12,False,17,19,False,90,1,1,0,1,0,0,0,0,0,0,3,43,38.2,6.8,62.0,10.7,68,-32056,759564,68746,100802,Gabriel Fernando de Jesus,FWD,Arsenal,Brentford,2024-25,3,1,3,0.3333333333333333,1.0,24.0,0.3333333333333333,7.333333333333333,0.3333333333333333,0.6666666666666666,5.966666666666666,27.333333333333332,59.0,0.0,0.0,0.0,0.0,0.0,341541.3333333333,25.666666666666668,6.333333333333333,228193.0,232436.66666666666,4243.666666666667,0.0,2.0,0.3333333333333333,2.3333333333333335
3,2,False,17,19,False,90,0,0,0,1,0,0,0,0,0,0,0,12,18.8,17.1,0.0,3.6,63,128138,3148709,160775,32637,Gabriel dos Santos Magalhães,DEF,Arsenal,Brentford,2024-25,3,1,3,0.3333333333333333,1.0,22.666666666666668,0.6666666666666666,14.9,0.3333333333333333,0.0,5.033333333333333,23.399999999999995,90.0,0.0,0.0,0.0,0.0,0.0,2713714.6666666665,12.0,6.333333333333333,99043.66666666667,219250.0,120206.33333333333,0.3333333333333333,2.0,0.3333333333333333,2.3333333333333335
4,0,False,17,19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,24677,1144511,67743,43066,Kai Havertz,FWD,Arsenal,Brentford,2024-25,3,1,3,0.0,1.0,25.0,0.6666666666666666,20.066666666666666,0.3333333333333333,0.6666666666666666,9.133333333333333,30.46666666666667,79.0,0.0,0.0,0.0,0.0,0.0,1106885.6666666667,40.666666666666664,5.0,-242.0,59483.666666666664,59725.666666666664,0.3333333333333333,2.0,0.3333333333333333,2.3333333333333335
5,0,False,17,19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-72,3109,0,72,Karl Hein,GKP,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.0,0.0,0.0,-78.66666666666667,0.0,78.66666666666667,0.0,2.0,0.3333333333333333,2.3333333333333335
6,1,False,17,19,False,90,0,0,0,1,0,0,0,1,0,0,0,8,18.0,22.9,4.0,4.5,57,24968,878835,55486,30518,Jurriën Timber,DEF,Arsenal,Brentford,2024-25,3,1,3,0.0,1.0,20.0,0.6666666666666666,5.533333333333334,0.3333333333333333,0.0,2.8000000000000003,13.333333333333334,88.33333333333333,0.0,0.0,0.0,0.0,0.0,817799.3333333334,9.0,5.333333333333333,93400.66666666667,125054.0,31653.333333333332,0.3333333333333333,2.0,0.3333333333333333,2.3333333333333335
7,1,False,17,19,False,2,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.0,0.0,0.1,47,-420,25599,560,980,Jorge Luiz Frello Filho,MID,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,3.0,0.0,1.5,0.0,0.0,0.26666666666666666,1.2,9.333333333333334,0.0,0.0,0.0,0.0,0.0,26192.0,0.0,0.3333333333333333,-125.66666666666667,980.3333333333334,1106.0,0.0,2.0,0.3333333333333333,2.3333333333333335
8,0,False,17,19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1703,21090,302,2005,Jakub Kiwior,DEF,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25366.0,0.0,0.0,853.3333333333334,3947.6666666666665,3094.3333333333335,0.0,2.0,0.3333333333333333,2.3333333333333335
9,9,False,17,19,False,90,1,0,0,1,0,0,0,0,0,0,2,35,48.0,43.1,45.0,13.6,68,14863,467510,46521,31658,Gabriel Martinelli Silva,MID,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,13.333333333333334,0.6666666666666666,26.599999999999998,0.3333333333333333,0.3333333333333333,7.766666666666667,20.8,84.33333333333333,0.0,0.0,0.0,0.0,0.0,336565.0,30.333333333333332,4.333333333333333,48741.333333333336,70396.33333333333,21655.0,0.0,2.0,0.3333333333333333,2.3333333333333335
12,2,False,17,19,False,77,0,0,0,1,0,0,0,0,0,0,0,7,7.4,31.6,11.0,5.0,45,-1584,44940,2195,3779,Ethan Nwaneri,MID,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,2.0,0.0,1.5666666666666664,0.0,0.0,0.26666666666666666,1.0,10.666666666666666,0.0,0.0,0.0,0.0,0.0,47253.333333333336,0.0,0.6666666666666666,-738.0,3975.6666666666665,4713.666666666667,0.0,2.0,0.3333333333333333,2.3333333333333335
13,2,False,17,19,False,87,0,0,0,1,0,0,0,0,0,0,0,15,6.8,24.9,3.0,3.5,84,12317,797738,68268,55951,Martin Ødegaard,MID,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,11.666666666666666,0.6666666666666666,25.466666666666665,0.3333333333333333,0.0,6.233333333333333,9.933333333333334,80.33333333333333,0.0,0.0,0.0,0.0,0.0,699600.3333333334,26.666666666666668,2.6666666666666665,37118.333333333336,86134.0,49015.666666666664,0.0,2.0,0.3333333333333333,2.3333333333333335
15,2,False,17,19,False,90,0,0,0,1,0,0,0,0,0,1,0,7,11.0,0.0,0.0,1.1,56,-15591,3465472,58050,73641,David Raya Martin,GKP,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,17.666666666666668,0.6666666666666666,0.0,0.3333333333333333,0.0,1.4000000000000001,14.266666666666667,90.0,0.0,0.0,0.0,0.0,1.6666666666666667,3418908.3333333335,0.0,5.0,70242.33333333333,119409.0,49166.666666666664,0.0,2.0,0.3333333333333333,2.3333333333333335
16,1,False,17,19,False,12,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,62,3614,300013,12212,8598,Declan Rice,MID,Arsenal,Brentford,2024-25,3,1,3,0.3333333333333333,0.6666666666666666,25.0,0.6666666666666666,20.433333333333334,0.0,0.3333333333333333,6.1000000000000005,30.600000000000005,59.666666666666664,0.0,0.0,0.0,0.0,0.0,283196.3333333333,10.0,5.666666666666667,4342.666666666667,13276.333333333334,8933.666666666666,0.0,2.0,0.3333333333333333,2.3333333333333335
17,0,False,17,19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,103,-658686,1488375,2651,661337,Bukayo Saka,MID,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,8.666666666666666,0.3333333333333333,16.46666666666667,0.3333333333333333,0.0,3.766666666666667,7.6000000000000005,37.666666666666664,0.0,0.0,0.0,0.0,0.0,3953436.6666666665,13.666666666666666,1.3333333333333333,-832069.3333333334,150308.66666666666,982378.0,0.0,2.0,0.3333333333333333,2.3333333333333335
18,2,False,17,19,False,90,0,0,0,1,0,0,0,0,0,0,0,14,13.0,3.3,0.0,1.6,63,1303,3370088,64265,62962,William Saliba,DEF,Arsenal,Brentford,2024-25,3,1,3,0.0,0.3333333333333333,21.666666666666668,0.6666666666666666,9.166666666666666,0.3333333333333333,0.0,3.033333333333333,19.0,90.0,0.0,0.0,0.0,0.0,0.0,3309339.6666666665,2.0,5.0,193524.33333333334,242142.66666666666,48618.333333333336,0.0,2.0,0.3333333333333333,2.3333333333333335
20,5,False,17,19,False,90,0,1,0,1,0,0,0,0,0,0,0,26,23.0,5.8,14.0,4.3,50,-3549,89874,1778,5327,Thomas Partey,MID,Arsenal,Brentford,2024-25,3,1,3,0.3333333333333333,0.0,12.333333333333334,0.0,5.266666666666667,0.3333333333333333,0.0,1.8999999999999997,12.0,38.0,0.0,0.0,0.0,0.0,0.0,94726.66666666667,2.0,2.3333333333333335,-1877.6666666666667,3928.0,5805.666666666667,0.0,2.0,0.3333333333333333,2.3333333333333335
21,0,False,17,19,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,28,3912,241,213,Kieran Tierney,DEF,Arsenal,Brentford,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3610.6666666666665,0.0,0.0,138.33333333333334,357.0,218.66666666666666,0.0,2.0,0.3333333333333333,2.3333333333333335
