id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,True,16,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,54,-8,1120,0,8,Fábio Ferreira Vieira,MID,Arsenal,Man City,2024-25,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1134.3333333333333,0.0,0.0,-5.0,0.0,5.0,0.0,1.6666666666666667,1.0,2.3333333333333335
2,0,True,16,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,66,-27698,149145,68,27766,Gabriel Fernando de Jesus,FWD,Arsenal,Man City,2024-25,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,329920.6666666667,0.0,0.0,-290477.0,18281.0,308758.0,0.0,1.6666666666666667,1.0,2.3333333333333335
3,2,True,16,24,False,90,0,0,0,1,0,0,0,0,0,0,0,11,15.2,3.0,5.0,2.3,0,0,0,0,0,0,0,64,-157652,3065179,47399,205051,Gabriel dos Santos Magalhães,DEF,Arsenal,Man City,2024-25,5,1,3,0.0,0.3333333333333333,14.333333333333334,0.3333333333333333,11.866666666666667,1.0,0.0,4.033333333333334,22.866666666666664,90.0,0.0,0,0,0.0,0.0,3232283.3333333335,5.333333333333333,3.0,-12794.0,112642.66666666667,125436.66666666667,0.3333333333333333,1.6666666666666667,1.0,2.3333333333333335
4,12,True,16,24,False,89,1,1,0,1,0,0,0,0,0,0,3,44,55.4,14.7,35.0,10.5,0,0,0,0,0,0,0,78,-71641,843600,7003,78644,Kai Havertz,FWD,Arsenal,Man City,2024-25,5,1,3,0.0,0.3333333333333333,4.333333333333333,0.3333333333333333,7.366666666666666,1.0,0.3333333333333333,5.633333333333333,13.200000000000001,90.0,0.0,0,0,0.0,0.0,907246.6666666666,35.666666666666664,3.3333333333333335,-36532.0,34530.0,71062.0,0.3333333333333333,1.6666666666666667,1.0,2.3333333333333335
5,0,True,16,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,-21,2935,0,21,Karl Hein,GKP,Arsenal,Man City,2024-25,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2983.0,0.0,0.0,-30.0,0.0,30.0,0.0,1.6666666666666667,1.0,2.3333333333333335
6,1,True,16,24,False,90,0,0,0,1,0,0,0,1,0,0,0,0,6.0,1.8,15.0,2.3,0,0,0,0,0,0,0,56,-52852,478134,11275,64127,Jurriën Timber,DEF,Arsenal,Man City,2024-25,5,1,3,0.0,0.0,13.0,0.3333333333333333,3.9333333333333336,1.0,0.0,1.6000000000000003,11.399999999999999,90.0,0.0,0,0,0.0,0.0,559239.0,0.6666666666666666,2.6666666666666665,-45902.333333333336,21385.666666666668,67288.0,0.3333333333333333,1.6666666666666667,1.0,2.3333333333333335
7,0,True,16,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,47,-148,25418,610,758,Jorge Luiz Frello Filho,MID,Arsenal,Man City,2024-25,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,25499.0,0.0,0.0,-211.0,674.6666666666666,885.6666666666666,0.0,1.6666666666666667,1.0,2.3333333333333335
8,0,True,16,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,48,-432,18957,212,644,Jakub Kiwior,DEF,Arsenal,Man City,2024-25,5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,19267.333333333332,0.0,0.0,-572.3333333333334,309.0,881.3333333333334,0.0,1.6666666666666667,1.0,2.3333333333333335
9,5,True,16,24,False,90,0,1,0,1,0,0,0,0,0,0,0,15,23.2,22.3,23.0,6.9,0,0,0,0,0,0,0,67,-40352,373507,12219,52571,Gabriel Martinelli Silva,MID,Arsenal,Man City,2024-25,5,1,3,0.0,0.0,10.666666666666666,0.3333333333333333,10.0,0.6666666666666666,0.3333333333333333,5.766666666666667,14.066666666666668,65.33333333333333,0.0,0,0,0.0,0.0,435632.3333333333,33.666666666666664,3.6666666666666665,-52238.666666666664,25258.333333333332,77497.0,0.0,1.6666666666666667,1.0,2.3333333333333335
12,6,True,16,24,False,6,1,0,0,0,0,0,0,0,0,0,0,24,37.6,14.7,7.0,5.9,0,0,0,0,0,0,0,45,14541,65781,17528,2987,Ethan Nwaneri,MID,Arsenal,Man City,2024-25,5,1,3,0.0,0.0,0.6666666666666666,0.0,0.26666666666666666,0.0,0.0,0.2333333333333333,0.7333333333333334,15.0,0.0,0,0,0.0,0.0,51107.666666666664,1.3333333333333333,0.3333333333333333,-2536.3333333333335,8345.333333333334,10881.666666666666,0.0,1.6666666666666667,1.0,2.3333333333333335
