,PLAYER,TEAM,POSITION,PRICE 1,MINUTES 1,POINTS 1,PRICE 2,MINUTES 2,POINTS 2,PRICE 3,MINUTES 3,POINTS 3,PRICE 4,MINUTES 4,POINTS 4,PRICE 5,MINUTES 5,POINTS 5,PRICE 6,MINUTES 6,POINTS 6,PRICE 7,MINUTES 7,POINTS 7,PRICE 8,MINUTES 8,POINTS 8,PRICE 9,MINUTES 9,POINTS 9,PRICE 10,MINUTES 10,POINTS 10,PRICE 11,MINUTES 11,POINTS 11,PRICE 12,MINUTES 12,POINTS 12,PRICE 13,MINUTES 13,POINTS 13,PRICE 14,MINUTES 14,POINTS 14,PRICE 15,MINUTES 15,POINTS 15,PRICE 16,MINUTES 16,POINTS 16,PRICE 17,MINUTES 17,POINTS 17,PRICE 18,MINUTES 18,POINTS 18,PRICE 19,MINUTES 19,POINTS 19,PRICE 20,MINUTES 20,POINTS 20,PRICE 21,MINUTES 21,POINTS 21,PRICE 22,MINUTES 22,POINTS 22,PRICE 23,MINUTES 23,POINTS 23,PRICE 24,MINUTES 24,POINTS 24,PRICE 25,MINUTES 25,POINTS 25,PRICE 26,MINUTES 26,POINTS 26,PRICE 27,MINUTES 27,POINTS 27,PRICE 28,MINUTES 28,POINTS 28,PRICE 29,MINUTES 29,POINTS 29,PRICE 30,MINUTES 30,POINTS 30,PRICE 31,MINUTES 31,POINTS 31,PRICE 32,MINUTES 32,POINTS 32,PRICE 33,MINUTES 33,POINTS 33,PRICE 34,MINUTES 34,POINTS 34,PRICE 35,MINUTES 35,POINTS 35,PRICE 36,MINUTES 36,POINTS 36,PRICE 37,MINUTES 37,POINTS 37,PRICE 38,MINUTES 38,POINTS 38
0,Aaron Connolly,Brighton,FWD,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0
0,Aaron Cresswell,West Ham,DEF,45,0,0,45,0,0,44,0,0,44,0,0,43,0,0,43,0,0,43,0,0,42,0,0,42,0,0,42,84,2,42,0,0,42,1,1,42,0,0,42,0,0,42,0,0,42,45,-1,42,0,0,42,0,0,42,0,0,42,0,0,42,0,0,42,0,0,42,0,0,42,14,1,42,0,0,42,0,0,42,0,0,42,90,1,42,6,1,42,0,0,42,0,0,42,36,1,42,0,0,42,45,1,42,0,0,42,14,1,42,6,1,42,90,1
0,Aaron Hickey,Brentford,DEF,45,71,0,45,77,5,45,90,2,45,81,1,45,81,1,45,72,1,45,68,1,45,90,0,45,0,0,45,83,6,45,0,0,45,0,0,45,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0
0,Aaron Ramsdale,Arsenal,GK,50,90,2,50,90,6,50,90,1,50,90,2,50,0,0,50,0,0,49,0,0,49,0,0,48,0,0,48,0,0,47,0,0,47,0,0,47,90,6,47,0,0,47,0,0,46,0,0,46,0,0,46,0,0,46,0,0,46,0,0,46,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,90,3,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0
0,Aaron Ramsey,Burnley,MID,50,0,0,50,0,0,50,22,1,50,0,0,50,0,0,50,72,2,50,85,3,50,29,1,50,0,0,50,0,0,50,0,0,50,10,1,50,17,1,50,0,0,50,0,0,50,20,1,50,0,0,50,0,0,50,1,1,50,31,1,50,0,0,50,31,1,50,62,2,50,80,2,50,62,1,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0
0,Aaron Wan-Bissaka,Man Utd,DEF,45,90,12,45,65,1,46,90,0,46,90,1,46,5,1,46,0,0,45,0,0,45,0,0,44,0,0,44,0,0,44,90,8,44,0,0,44,14,1,44,79,2,44,0,0,44,0,0,44,0,0,44,90,1,44,90,1,44,89,1,44,90,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,90,1,44,90,0,44,90,4,44,90,1,44,90,1,44,90,2,44,90,0,44,176,3,44,90,6
0,Abdoulaye Doucouré,Everton,MID,55,90,2,55,90,2,55,90,2,55,90,8,55,79,2,55,90,7,55,59,4,55,90,8,55,90,2,55,90,3,55,90,1,55,90,11,55,89,1,55,90,3,55,90,9,55,90,10,56,45,1,56,0,0,55,0,0,55,0,0,55,90,3,55,0,0,55,0,0,55,0,0,55,71,2,55,88,3,55,90,2,55,60,1,55,0,0,55,71,2,55,59,1,55,90,3,55,90,2,55,180,8,55,90,3,55,53,1,55,68,8,55,90,1
0,Abdul Rahman Baba,Chelsea,DEF,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0
0,Adam Davies,Sheffield Utd,GK,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0
0,Adam Lallana,Brighton,MID,50,0,0,50,9,1,49,30,1,49,9,0,49,63,3,49,0,0,49,0,0,49,0,0,49,0,0,49,58,1,49,45,1,49,45,1,49,45,1,49,56,4,49,0,0,49,45,1,49,59,1,49,15,1,49,1,1,49,16,1,49,18,1,49,0,0,49,2,1,49,56,1,49,0,0,49,15,1,49,58,1,49,10,0,49,0,0,49,7,1,49,63,3,49,0,0,49,13,1,49,45,1,49,0,0,49,0,0,49,0,0,49,56,1
